url,id_auteur,auteur,sexe,pays,haiku
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6165&lg=f,sang-r,Rahmatou Sangotte,F,France,orage -\\le goût sucré\\du poivron frit
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6041&lg=f,py-d,Daniel Py,H,France,Fin de l'année\\balayant les mouches\\du balcon
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2610&lg=f,bikko, Bikko,H,France,"Six oiseaux, puis un,\\au ras des vagues blanches,\\la plage bondée."
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2746&lg=f,kolo-a,Angelika Kolompar Renville,F,Canada,Un hydravion\\partage les bernaches du Canada\\calme de l'été
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=715&lg=f,rais-c,Carol Raisfeld,F,USA,   messe de requiem -\\   des particules de poussière dérivent\\   dans l'air étouffant
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6958&lg=f,darn-b,Brian Austin Darnell,H,USA,Nuit étoilée -\\sur la grand route\\un camion change de vitesse
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1948&lg=f,bala-i,Israel Balan,H,Mexico,nuit d'étoiles --\\une ballon blanc flotte\\dans la piscine
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5841&lg=f,gabr-d,Damien Gabriels,H,France,neige de l'aube -\\les traces de pas\\du porteur de journaux
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1465&lg=f,rais-c,Carol Raisfeld,F,USA,promenade d'été\\gouttes de pluie\\vapeur
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7696&lg=f,mout-a,Abelhak  Moutachaoui Abdou,H,Maroc,Il pleut encore-\\échange de regards\\le chat et moi
