url | id_auteur | auteur | sexe |  pays | haiku 
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2556&lg=f | quin-p | Philippe Quinta | H | France | Fut-elle pleine\\déjà, elle décroit\\la lune
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=701&lg=f | py-d | Daniel Py | H | France | Lune parfaitement ronde\\Buée sur la vitre
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6905&lg=f | alex-m | Marlène Alexa | F | Egypte | hiver\\dans les yeux de grand-mère\\une ombre grise
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6101&lg=f | sang-r | Rahmatou Sangotte | F | France | gray skies -\\the smell of\\caramelized onions
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5769&lg=f | rais-c | Carol Raisfeld | F | USA | la fille du pasteur\\sa robe du dimanche\\de la couleur des ecchymoses
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5730&lg=f | ligi-l | Lilas Ligier | F | France | Sans toi\\sous le ciel d'hiver\\nos pas perdus
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5796&lg=f | dufl-m | Michel Duflo | H | France | petit noir -\\les cernes\\de la serveuse
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1280&lg=f | boul-j | Josiane Boulanger | F | Belgique | Avant de partir,\\dans le miroir du salon\\tes yeux et les miens.
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2684&lg=f | sprite |  sprite | ? | England | brusques giboulées -\\pleurs et puis rires de l'ado\\en quete d'emploi
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1453&lg=f | pala-p | Patrick Palaquer | H | France | les mots sous les doigts\\l'aveugle et son livre en braille\\frottement du papier
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6574&lg=f | wisd-j | John Wisdom | H | USA | les jours s'allongent\\même la gloire du matin\\d'une teinte plus bleue
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5845&lg=f | bilq-b | Bill Bilquin | H | Belgique | sur mon smartphone\\le mont fuji au soleil couchant\\café du matin
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=8074&lg=f | gabr-d | Damien Gabriels | H | France | l'orage s'éloigne -\\d'une fenêtre ouverte\\un prélude de Bach
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3509&lg=f | mena-pd | Paul David Mena | H | USA | nouvelle lune --\\la souris dans le grenier\\s'éveille
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7658&lg=f | mcdo-j | John McDonald | H | Scotland (UK) | sundow\\still warmth\\in her rosary beads
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4983&lg=f | mena-pd | Paul David Mena | H | USA | encore errant\\dans le couloir vide --\\un parfum bon marché
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1817&lg=f | brill-y | Yves Brillon | H | Canada | sortant du métro\\face à face avec la lune -\\retour du boulot
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7514&lg=f | gagn-c | Chase Gagnon | H | USA | j'oublie sa voix\\la lettre d'excuses de mon père\\crépite dans le feu
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5391&lg=f | pham-mt | Minh-Triêt Pham | H | France | journée mondiale du sida -\\je réinstalle\\mon antivirus
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3358&lg=f | bilq-b | Bill Bilquin | H | Belgique | soleil froid\\dans le parlement\\leurs hurlements
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1872&lg=f | py-d | Daniel Py | H | France | ceinture brune : sa peau\\entre top et pantalon\\- ligne quatorze
